_id	id_orden	fecha_inicio	fecha_terminado	progreso
6439	3787	NULL	NULL	por iniciar
6444	3713	NULL	NULL	por iniciar
6452	3591	2026-02-04 14:21:17	2026-02-04 17:51:37	terminada
6456	3646	2026-02-04 15:58:20	2026-02-04 17:53:13	terminada
6457	3646	2026-02-04 16:19:12	2026-02-04 17:53:13	terminada
6463	3796	NULL	NULL	por iniciar
6466	3769	NULL	NULL	por iniciar
6468	3769	NULL	NULL	por iniciar
6474	3755	2026-02-06 09:37:18	2026-02-06 11:43:02	terminada
6490	3801	NULL	NULL	por iniciar
6495	3804	2026-02-05 17:12:26	2026-02-05 17:35:34	terminada
6499	3680	NULL	NULL	por iniciar
6507	3806	NULL	NULL	por iniciar
6517	3811	NULL	NULL	por iniciar
6522	3813	NULL	NULL	por iniciar
6530	3791	NULL	NULL	por iniciar
6532	3791	NULL	NULL	por iniciar
6537	3818	NULL	NULL	por iniciar
6547	3770	NULL	NULL	por iniciar
6561	3819	NULL	NULL	por iniciar
6567	3828	NULL	NULL	por iniciar
